Phylum,Class,Order,Family,Genus
,,,,Tangfeifania
,,,,Draconibacterium
,,,,Mangrovibacterium
,,,,Sunxiuqinia
,,,,UBA6024
,,,,SKHV01
,,,,UBA12481
,,,,RGIG6076
,,,,Tenuifilum
,,,,UBA5206
,,,,UBA5261
,,,,UBA8529
,,,,Bacteroides_D
,,,,Acetobacteroides
,,,,Alistipes_A
,,,,Tidjanibacter
,,,,Alistipes
,,,,UBA940
,,,,Avirikenella
,,,,Mucinivorans
,,,,Rikenella
,,,,UBA932
,,,,Bact-08
,,,,Egerieousia
,,,,JAGCJX01
,,,,Coprenecus
,,,,Merdivivens
,,,,Cryptobacteroides
,,,,RUG11257
,,,,Bact-11
,,,,WRBG01
,,,,DMER64
,,,,UBA4181
,,,,JAFGPL01
,,,,UBA5072
,,,,UBA10428
,,,,UBA9300
,,,,SR-FBR-E99
,,,,UBA8202
,,,,LD21
,,,,SLNP01
,,,,HyVt-105
,,,,DRPN01
,,,,GCA-2748055
,,,,SM23-62
,,,,LJUQ01
,,,,UBA12077
,,,,JAGXLC01
,,,,PUMT01
,,,,PXAP01
,,,,GWF2-38-335
,,,,GWA2-31-9
,,,,B39-G9
,,,,GWF2-35-48
,,,,GWA2-32-17
,,,,JAGOEF01
,,,,Bact-19
,,,,UBA10329
,,,,CAIKAF01
,,,,DT-38
,,,,NORP312
,,,,NORP154
,,,,GCA-2400975
,,,,Acidiluteibacter
,,,,NORP294
,,,,BCD5
,,,,Vicingus
,,,,GCA-002793235
,,,,BRH-c54
,,,,RFXV01
,,,,UBA10364
,,,,Phaeocystidibacter
,,,,TMED14
,,,,CSBr16-58
,,,,Croceimicrobium
,,,,Owenweeksia
,,,,Merdimorpha
,,,,WGBX01
,,,,JAADED01
,,,,UBA11891
,,,,RFYP01
,,,,MS024-2A
,,,,UBA8316
,,,,UBA7428
,,,,GCA-002723295
,,,,GCA-002728855
,,,,MED-G11
,,,,GCA-2719315
,,,,TMED220
,,,,TMED96
,,,,MAG-121220-bin8
,,,,MED-G14
,,,,UBA724
,,,,UBA7446
,,,,SGZJ01
,,,,MED-G13
,,,,GCA-2700405
,,,,GCA-2733415
,,,,Kordia
,,,,MAR-2010-188
,,,,Paucihalobacter
,,,,Winogradskyella
,,,,Yeosuana
,,,,Confluentibacter
,,,,Aestuariibaculum
,,,,Mariniflexile
,,,,Tamlana_A
,,,,Tamlana_C
,,,,Algibacter_B
,,,,Flaviramulus
,,,,Algibacter
,,,,Wocania
,,,,Flavivirga
,,,,Tamlana_B
,,,,Seonamhaeicola
,,,,Jejuia
,,,,Oceanihabitans
,,,,Bizionia
,,,,Lacinutrix
,,,,Mesoflavibacter
,,,,Olleya
,,,,Formosa
,,,,Xanthomarina
,,,,Mangrovimonas
,,,,Algorimicrobium
,,,,Subsaximicrobium
,,,,Psychroserpens
,,,,Mangrovimonas_A
,,,,Gelidibacter
,,,,Aquaticitalea
,,,,SHLJ01
,,,,Hel1-33-131
,,,,UBA3537
,,,,PRS1
,,,,CAU-1491
,,,,JABABD01
,,,,Planktosalinus
,,,,Marinirhabdus
,,,,Marixanthomonas
,,,,Patiriisocius
,,,,Ulvibacter
,,,,Aequorivita
,,,,Altibacter
,,,,Pukyongia
,,,,SMXJ01
,,,,IN17
,,,,GCA-002733185
,,,,BACL21
,,,,Gilvibacter
,,,,Aquimarina
,,,,Salinimicrobium
,,,,Gillisia
,,,,Salegentibacter
,,,,Zunongwangia
,,,,Gramella
,,,,Mesonia
,,,,Psychroflexus
,,,,Dokdonia
,,,,Leeuwenhoekiella
,,,,Nonlabens
,,,,MAG-120531
,,,,Cellulophaga
,,,,Arenibacter
,,,,Saonia
,,,,Aurantibacter_A
,,,,RZ26
,,,,Maribacter_B
,,,,Maribacter
,,,,Maribacter_A
,,,,Pricia
,,,,Pseudozobellia
,,,,Euzebyella
,,,,Zobellia
,,,,Eudoraea
,,,,Muriicola
,,,,Zeaxanthinibacter
,,,,Robiginitalea
,,,,Croceivirga
,,,,Croceitalea
,,,,Muricauda_A
,,,,Muricauda
,,,,UBA3478
,,,,Capnocytophaga
,,,,Galbibacter_A
,,,,Robertkochia
,,,,Sinomicrobium
,,,,Leptobacterium
,,,,UM-FILTER-40-17
,,,,Flavobacterium
,,,,CG1-02-35-72
,,,,QNYL01
,,,,Aureibaculum
,,,,Wenyingzhuangia
,,,,Flavicella
,,,,Polaribacter_A
,,,,SCGC-AAA160-P02
,,,,Polaribacter
,,,,Tenacibaculum
,,,,Urechidicola
,,,,GCA-002401385
,,,,Lutibacter
,,,,Aureivirga
,,,,GCA-2747695
,,,,Ornithobacterium
,,,,Faecalibacter
,,,,Empedobacter
,,,,Chishuiella
,,,,Weeksella
,,,,Moheibacter
,,,,Apibacter
,,,,Elizabethkingia
,,,,JABCPE02
,,,,Cloacibacterium
,,,,Riemerella
,,,,Bergeyella_A
,,,,Amniculibacterium
,,,,Chryseobacterium
,,,,Soonwooa
,,,,Epilithonimonas
,,,,Planobacterium
,,,,Kaistella
,,,,Halpernia
,,,,Blattabacterium
,,,,Sulcia
,,,,GCA-2692065
,,,,UBA6772
,,,,GCA-2696965
,,,,GCA-002707245
,,,,SP256
,,,,TMED113
,,,,GCA-2718035
,,,,UBA7312
,,,,GCA-2862585
,,,,UBA8444
,,,,GCA-2716345
,,,,GCA-002697625
,,,,DUAL01
,,,,GCA-002715885
,,,,UWMA-0277
,,,,GCA-2683775
,,,,BACL11
,,,,GCA-2711125
,,,,GCA-2697505
,,,,GCA-002722245
,,,,Putridiphycobacter
,,,,JADJGJ01
,,,,Crocinitomix
,,,,CSBr16-161
,,,,Brumimicrobium
,,,,M2408
,,,,40-80
,,,,Taishania
,,,,UBA4466
,,,,SZUA-381
,,,,M0103
,,,,UBA952
,,,,CAIUKX01
,,,,UBA2040
,,,,Fluviicola
,,,,CAJJDF01
,,,,UBA10066
,,,,GCA-002727735
,,,,MED-G20
,,,,CECT-30217
,,,,UBA8752
,,,,UA16
,,,,UBA11663
,,,,UBA974
,,,,ASP10-05a
,,,,CAIZGX01
,,,,UBA4660
,,,,SKUL01
,,,,T3Sed10-241
,,,,PHOS-HE28
,,,,Salibacter
,,,,SHAN690
,,,,JAAZVO01
,,,,UBA6770
,,,,JAADEI01
,,,,SpSt-205
,,,,FW602-bin19
,,,,PNNN01
,,,,JAGXRH01
,,,,CAADGV01
,,,,Fen-1273
,,,,Fen-1262
,,,,Fen-1255
,,,,JAGDMK01
,,,,JACQPT01
,,,,Fen-1298
,,,,UBA9647
,,,,UBA6688
,,,,UBA8401
,,,,SpSt-333
,,,,T3Sed10-11
,,,,Kryptonium
,,,,JAHJVF01
,,,,Ch128b
,,,,Ignavibacterium
,,,,IGN3
,,,,IGN2
,,,,XYD12-FULL-36-8
,,,,RBG-16-34-14
,,,,GCA-002790365
,,,,UTCHB3
,,,,CAIYTF01
,,,,JABWCL01
,,,,JAFGPR01
,,,,DSXH01
,,,,XYB12-FULL-38-5
,,,,Fen-1258
,,,,SURF-28
,,,,SZUA-22
,,,,1-14-2-50-31-20
,,,,PGYT01
,,,,GCA-2746605
,,,,WGAL01
,,,,OLB5
,,,,JAFDZO01
,,,,JAGPCH01
,,,,UBA2330
,,,,JAEUSI01
,,,,Ch128a
,,,,CAIKZJ01
,,,,FEN-1279
,,,,UBA9002
,,,,BM516
,,,,SZUA-365
,,,,PALSA-1295
,,,,NICIL-2
,,,,OLB6
,,,,Kapabacteria
,,,,UBA10438
,,,,UBA2353
,,,,UBA961
,,,,JADJXV01
,,,,Naka2016
,,,,PGYU01
,,,,JAAYTD01
,,,,UBA2268
,,,,XYC2-FULL-35-21
,,,,PH2015
,,,,HRBIN21
,,,,OLB7
,,,,UBA6098
,,,,UBA3073
,,,,JAFGIG01
,,,,QNBC01
,,,,32-111
,,,,JAADCS01
,,,,Caldipriscus
,,,,UBA1063
,,,,DTOZ01
,,,,SM23-42
,,,,DRIG01
,,,,B3-TA06
,,,,UBA2258
,,,,DSBX01
,,,,DTMZ01
,,,,CAIPLT01
,,,,B68-G9
,,,,SICG01
,,,,UBA12574
,,,,GCA-2724215
,,,,UBA2968
,,,,JAAXHH01
,,,,UBA2226
,,,,UBA5202
,,,,UBA10806
,,,,PGXB01
,,,,FEB-12
,,,,B22-G1
,,,,B120-G9
,,,,CAIYYT01
,,,,JAABVY01
,,,,AG11
,,,,JABFXC01
,,,,JAABRT01
,,,,Gemmatimonas
,,,,JACMLX01
,,,,PNKL01
,,,,Fen-1231
,,,,PNKF01
,,,,JACPPC01
,,,,SCN-70-22
,,,,Fen-1247
,,,,UBA4720
,,,,FEN-1250
,,,,JACMME01
,,,,JACORV01
,,,,JADJOM01
,,,,JABFSM01
,,,,Palsa-1233
,,,,JACDDX01
,,,,20CM-2-65-7
,,,,AG29
,,,,AG41
,,,,20CM-4-69-16
,,,,SHZT01
,,,,Longimicrobium
,,,,BD2-11
,,,,Bin94
,,,,PWLA01
,,,,SKNW01
,,,,SLBA01
,,,,SLCK01
,,,,UBA1138
,,,,UBA2982
,,,,UBA2589
,,,,UBA822
,,,,GCA-2718595
,,,,JAAXHJ01
,,,,Sabulitectum
,,,,Aegiribacteria
,,,,Krumholzibacterium
,,,,SSS58A
,,,,Glo-17
,,,,CAINDZ01
,,,,LZORAL124-64-63
,,,,PNOJ01
,,,,WS-7
,,,,WS-9
,,,,CAIXRL01
,,,,WS-11
,,,,Thermotomaculum
,,,,UM-FILTER-49-7
,,,,UBA12189
,,,,Holophaga
,,,,JADJVL01
,,,,Geothrix
,,,,JAFDVN01
,,,,Acanthopleuribacter
,,,,UBA4820
,,,,JAADFN01
,,,,JACADV01
,,,,RBG-13-68-16
,,,,QHVT01
,,,,Gp7-AA10
,,,,JADGNZ01
,,,,UBA5066
,,,,Fen-183
,,,,WTGL01
,,,,JAAYLR01
,,,,JAGPDF01
,,,,JACTMI01
,,,,Gp22-AA3
,,,,HR10
,,,,Chloracidobacterium
,,,,JADJPF01
,,,,JAFDVL01
,,,,RBC074
,,,,CAIOZW01
,,,,JADJXM01
,,,,JACMLC01
,,,,QHXM01
,,,,UBA11740
,,,,PSRF01
,,,,JACCYN01
,,,,QHXN01
,,,,J014
,,,,QQUY01
,,,,JAFDVJ01
,,,,GCA-002050365
,,,,OLB17
,,,,20CM-2-55-15
,,,,Gp1-AA112
,,,,Terriglobus_A
,,,,Terriglobus
,,,,Granulicella_A
,,,,UBA5172
,,,,Palsa-288
,,,,Edaphobacter
,,,,Granulicella_D
,,,,Granulicella_C
,,,,CAIVDV01
,,,,Terracidiphilus
,,,,Acidobacterium_A
,,,,Acidobacterium
,,,,Palsa-343
,,,,Silvibacterium
,,,,Gp1-AA17
,,,,DSPA01
,,,,Gp1-AA122
,,,,Gp1-AA124
,,,,40CM-3-55-5
,,,,PALSA-188
,,,,Gp1-AA145
,,,,Sulfotelmatobacter
,,,,Gp1-AA133
,,,,QIAJ01
,,,,Bog-209
,,,,TOLSYN
,,,,Koribacter
,,,,Bog-257
,,,,Fen-330
,,,,JACMLA01
,,,,CADEFT01
,,,,JAFLBB01
,,,,VFZE01
,,,,SYLY01
,,,,DSOI01
,,,,Palsa-187
,,,,Palsa-89
,,,,Bog-105
,,,,Ga0077553
,,,,F-183
,,,,Bryobacter
,,,,PNKE01
,,,,Paludibaculum
,,,,QHXW01
,,,,PSRJ01
,,,,BOG-224
,,,,Solibacter
,,,,Bog-375
,,,,Fen-178
,,,,PALSA-129
,,,,Bog-113
,,,,BOG-234
,,,,JADJWL01
,,,,SYKU01
,,,,VXMF01
,,,,2-02-FULL-67-57
,,,,JACQDE01
,,,,Palsa-360
,,,,Palsa-189
,,,,QHYU01
,,,,Acidoferrum
,,,,Palsa-295
,,,,Palsa-147
,,,,SCRD01
,,,,Bog-366
,,,,RH2-MAG17b
,,,,Gp13-AA74
,,,,JACADW01
,,,,JAAYCX01
,,,,UBA6911
,,,,JAAYAM01
,,,,JACQSX01
,,,,JAAYUB01
,,,,Bin61
,,,,UBA8106
,,,,UBA2161
,,,,UBA11600
,,,,NP936
,,,,UBA8438
,,,,WTFV01
,,,,Gp6-AA40
,,,,12-FULL-67-14b
,,,,CADEFD01
,,,,WHSN01
,,,,Gp6-AA45
,,,,QHWT01
,,,,JACDCA01
,,,,WHTT01
,,,,Luteitalea
,,,,SCN-69-37
,,,,SYFT01
,,,,JACQTH01
,,,,FEN-299
,,,,JAGNNV01
,,,,AA32
,,,,UBA890
,,,,Guanabacterium
,,,,DTGS01
,,,,Saccharicenans
,,,,RBG-16-66-30
,,,,UBA8522
,,,,JAFGAV01
,,,,FEN-413
,,,,UBA4085
,,,,JAAZPG01
,,,,JdFR-80
,,,,SOIV01
,,,,WTAW01
,,,,UBA876
,,,,UBA2199
,,,,Deferribacter
,,,,Flexistipes
,,,,Calditerrivibrio
,,,,Seleniivibrio
,,,,Denitrovibrio
,,,,Geovibrio
,,,,Mucispirillum
,,,,WFSI01
,,,,Thermosulfidibacter
,,,,Desulfurobacterium_A
,,,,Phorcysia
,,,,Balnearium
,,,,Thermovibrio
,,,,Sulfurihydrogenibium
,,,,QNZC01
,,,,Persephonella
,,,,Hydrogenothermus
,,,,QOAS01
,,,,Hydrogenobaculum
,,,,Thermocrinis
,,,,Hydrogenobacter
,,,,UBA11096
,,,,WFWF01
,,,,Aquifex
,,,,Hydrogenivirga
,,,,CSP1-6
,,,,JACQWB01
,,,,UBA12499
,,,,AR37
,,,,AR9
,,,,40CM-68-15
,,,,AR8
,,,,AR31
,,,,20CM-2-70-11
,,,,GWA2-73-35
,,,,AR12
,,,,AR5
,,,,CSP1-5
,,,,2-02-FULL-66-22
,,,,Methylomirabilis
,,,,Entotheonella
,,,,Bin107
,,,,UBA8248
,,,,2-12-FULL-69-37
,,,,JACRGP01
,,,,SZUA-226
,,,,UBA8687
,,,,LS-NOB
,,,,SZUA-259
,,,,Nitromaritima
,,,,Nitrohelix
,,,,UBA9942
,,,,SZUA-224
,,,,JACQEX01
,,,,RBG-16-64-22
,,,,JAAXXJ01
,,,,JACQZG01
,,,,JAADFS01
,,,,BMS3ABIN06
,,,,UBA6902
,,,,SURF-23
,,,,JACRGX01
,,,,UBA1546
,,,,SCSY01
,,,,UBA2194
,,,,UBA6898
,,,,PALSA-1316
,,,,Thermodesulfovibrio
,,,,MYbin3
,,,,GWB2-47-37
,,,,JADFXI01
,,,,Fen-1308
,,,,JAAYUK01
,,,,BMS3Bbin07
,,,,BMS3Abin08
,,,,JdFR-85
,,,,JAADIE01
,,,,JAADHP01
,,,,Magnetobacterium
,,,,JADFXG01
,,,,HCH-1
,,,,UBA2166
,,,,NS-12
,,,,2-02-FULL-62-14
,,,,RSF151
,,,,Nitrospira_A
,,,,Palsa-1315
,,,,Nitrospira_C
,,,,Nitrospira_D
,,,,Nitrospira_F
,,,,SYGV01
,,,,SCVQ01
,,,,Bin75
,,,,UBA8639
,,,,JACQFA01
,,,,2-01-FULL-66-17
,,,,Manganitrophus
,,,,JACRHF01
,,,,9FT-COMBO-42-15
,,,,Trichlorobacter
,,,,CAIPTY01
,,,,JACRCG01
,,,,Pseudopelobacter
,,,,Pelotalea
,,,,JACPFJ01
,,,,Oryzomonas
,,,,Geobacter
,,,,RPRC01
,,,,CAIWTU01
,,,,Geomobilimonas
,,,,Geomonas
,,,,Geotalea
,,,,VEOV01
,,,,Geoanaerobacter
,,,,CAIOGM01
,,,,RGIG7977
,,,,JAAYDE01
,,,,VAUL01
,,,,M0040
,,,,BM707
,,,,PPFX01
,,,,Geothermobacter
,,,,Desulfuromonas
,,,,Pseudodesulfuromonas
,,,,Malonomonas
,,,,Desulfuromusa
,,,,BM522
,,,,Pelovirga
,,,,BM509
,,,,Geopsychrobacter
,,,,SZUA-401
,,,,Syntrophotalea
,,,,SLLR01
,,,,Syntrophotalea_A
,,,,UBA2197
,,,,SZUA-540
,,,,Trichloromonas
,,,,JAENJC01
,,,,DRQE01
,,,,JACRLF01
,,,,GWA2-54-12
,,,,UBA5799
,,,,JACRCH01
,,,,GWB2-55-19
,,,,JACRNO01
,,,,JACRNJ01
,,,,UBA10170
,,,,CAJBEZ01
,,,,Desulfomonile
,,,,CAIXMD01
,,,,B14-G9
,,,,DSAD01
,,,,UBA1062
,,,,SURF-10
,,,,JACRDC01
,,,,SURF-52
,,,,0-14-0-80-60-11
,,,,DTKJ01
,,,,Desulfobacca
,,,,Desulfurivibrio
,,,,UBA2262
,,,,UBA5123
,,,,BM506
,,,,SURF-16
,,,,JAADIV01
,,,,BM004
,,,,BMS3Abin13
,,,,UBA10518
,,,,Desulfobulbus
,,,,Desulfobulbus_A
,,,,Desulfobulbus_C
,,,,Electrothrix
,,,,Electronema
,,,,DRLX01
,,,,DRKI01
,,,,UBA2270
,,,,Desulfocapsa
,,,,SZUA-575
,,,,Desulforhopalus
,,,,Desulfoprunum
,,,,Desulfopila
,,,,JABDQA01
,,,,UBA3076
,,,,S144-17
,,,,JAADCZ01
,,,,Dissulfuribacter
,,,,Thermodesulfatator
,,,,Thermodesulfatator_A
,,,,Thermosulfurimonas_A
,,,,Thermodesulfobacterium
,,,,Caldimicrobium
,,,,QYQD01
,,,,JAAYUJ01
,,,,SbD1
,,,,SLCH01
,,,,Desulfacinum
,,,,Desulfosoma
,,,,B33-G16
,,,,JAAZBV01
,,,,HGW-15
,,,,B111-G9
,,,,Desulfacyla
,,,,NaphS2
,,,,JABMQV01
,,,,UBA5623
,,,,Desulfatiglans
,,,,CG2-30-51-40
,,,,RBG-13-43-22
,,,,JADFXK01
,,,,JAFGFW01
,,,,Desulfatibacillum
,,,,Desulfobotulus
,,,,Desulfoluna
,,,,Desulfotignum
,,,,Desulfobacter
,,,,NBML01
,,,,Desulfobacula
,,,,Desulfobacterium_B
,,,,4572-130
,,,,Desulfamplus
,,,,Desulfosudis
,,,,M55B175
,,,,SURF-3
,,,,Desulfosalsimonas
,,,,B1SED10-16
,,,,SURF-7
,,,,RAAP-1
,,,,Desulfatirhabdium
,,,,JAABTD01
,,,,JABZFP01
,,,,UBA2174
,,,,SpSt-501
,,,,Desulfatitalea
,,,,Desulfosarcina
,,,,UBA2156
,,,,RPRI01
,,,,B13-G4
,,,,Desulfaltia
,,,,BuS5
,,,,Desulfatibia_A
,,,,S5133MH16
,,,,UBA11574
,,,,SKZT01
,,,,DSDU01
,,,,MLS-D
,,,,UBA6078
,,,,UBA2210
,,,,UBA2192
,,,,JAFGHS01
,,,,Fen-1135
,,,,UBA2185
,,,,UBA5619
,,,,JAAYKM01
,,,,Syntrophus
,,,,Fen-1166
,,,,UBA4810
,,,,Smithella
,,,,UBA8904
,,,,PHBD01
,,,,UBA8958
,,,,CAIRTM01
,,,,CAIWCT01
,,,,SM23-61
,,,,JAHJQK01
,,,,UBA8473
,,,,RBG-16-49-23
,,,,UBA1163
,,,,DTGX01
,,,,DTJU01
,,,,JACPST01
,,,,BOG-1155
,,,,DTOV01
,,,,UBA5609
,,,,Delta-02
,,,,Syntrophorhabdus
,,,,Acididesulfobacter
,,,,Acidulodesulfobacterium
,,,,GCA-002715585
,,,,TMED58
,,,,2-12-FULL-53-21
,,,,CR02bin9
,,,,UBA2774
,,,,RKRQ01
,,,,BM512
,,,,SCTA01
,,,,Deferrisoma
,,,,JAADEO01
,,,,DSCM01
,,,,CG2-30-66-27
,,,,UBA2219
,,,,JAENIX01
,,,,FEB-35
,,,,CSP1-8
,,,,BMS3ABIN14
,,,,CAITLU01
,,,,UBA1149
,,,,JADMIL01
,,,,Binatus
,,,,SXLG01
,,,,REEB422
,,,,DP-3
,,,,DP-19
,,,,HRBIN30
,,,,SYOC01
,,,,JABFSC01
,,,,JAAXHF01
,,,,Bin18
,,,,DP-20
,,,,UBA9968
,,,,2-12-FULL-57-22
,,,,40CM-4-68-19
,,,,CAIOAK01
,,,,Anaeromyxobacter
,,,,R267
,,,,UBA1203
,,,,JAEUJP01
,,,,JAEUJQ01
,,,,Archangium_A
,,,,FEN-1143
,,,,WRKR01
,,,,RPRB01
,,,,Archangium
,,,,Cystobacter
,,,,Melittangium
,,,,Stigmatella
,,,,Hyalangium
,,,,Myxococcus
,,,,Corallococcus
,,,,UBA4151
,,,,JAAZNF01
,,,,Enhygromyxa
,,,,Nannocystis
,,,,Ga0077550
,,,,JADJTL01
,,,,SLPX01
,,,,HGW-17
,,,,SZUA-580
,,,,JAHJMN01
,,,,Fen-1137
,,,,Fen-1118
,,,,FEN-1088
,,,,JAGNNG01
,,,,UBA2376
,,,,JABFXX01
,,,,JAFGXQ01
,,,,JAAZOP01
,,,,SLQV01
,,,,Sandaracinus
,,,,UBA1660
,,,,JAAYBZ01
,,,,SG8-38
,,,,JAADHO01
,,,,JADGRF01
,,,,Ga0077539
,,,,SCUS01
,,,,JADJMO01
,,,,Palsa-1150
,,,,Labilithrix
,,,,JAAFHV01
,,,,CAIQDA01
,,,,JADJKB01
,,,,PMG-095
,,,,NIC37A-2
,,,,CAITIQ01
,,,,Polyangium
,,,,Chondromyces
,,,,Sorangium
,,,,SYFR01
,,,,CAITUV01
,,,,JADDHL01
,,,,CAIZWN01
,,,,SXOO01
,,,,PHBI01
,,,,WYBB01
,,,,CAIYBN01
,,,,SXRM01
,,,,UBA4248
,,,,CAIWGR01
,,,,Lujinxingia
,,,,SLJM01
,,,,CAIYYW01
,,,,Desulfonatronum
,,,,Desulfovibrio_R
,,,,Halodesulfovibrio
,,,,Frigididesulfovibrio
,,,,WRHT01
,,,,Cupidesulfovibrio
,,,,Desulfovibrio
,,,,Mailhella
,,,,Avidesulfovibrio
,,,,Bilophila
,,,,Fundidesulfovibrio
,,,,Desulfolutivibrio
,,,,Solidesulfovibrio
,,,,Maridesulfovibrio
,,,,Pseudodesulfovibrio
,,,,Paucidesulfovibrio
,,,,Humidesulfovibrio
,,,,Aminidesulfovibrio
,,,,Desulfohalovibrio
,,,,Desulfovibrio_Q
,,,,Desulfonatronovibrio
,,,,Desulfonatronospira
,,,,Desulfonauticus
,,,,Desulfomicrobium
,,,,UBA2233
,,,,Leptospirillum_A
,,,,UBA3031
,,,,GCA-2704665
,,,,Chitinivorax
,,,,Chitinimonas
,,,,Formivibrio
,,,,Amantichitinum
,,,,Silvimonas
,,,,Chitiniphilus
,,,,Jeongeupia
,,,,Andreprevotia
,,,,Iodobacter
,,,,Chitinilyticum
,,,,Deefgea
,,,,Chitinibacter
,,,,Crenobacter
,,,,STGJ01
,,,,Pseudogulbenkiania
,,,,Paludibacterium
,,,,Aquitalea
,,,,Chromobacterium
,,,,Vogesella
,,,,Rivicola
,,,,Laribacter
,,,,UBA11063
,,,,Snodgrassella
,,,,Eikenella
,,,,Kingella_B
,,,,Alysiella
,,,,Kingella
,,,,Conchiformibius
,,,,Neisseria
,,,,JAGNPU01
,,,,Vitreoscilla
,,,,QFNR01
,,,,RGIG9985
,,,,Leeia
,,,,Azovibrio
,,,,UBA1934
,,,,Azonexus
,,,,SSSZ01
,,,,Azospira
,,,,Rhodocyclus
,,,,Accumulibacter
,,,,Propionivibrio
,,,,CAJBIL01
,,,,Azospira_A
,,,,Fluviibacter
,,,,Fen-999
,,,,Sulfurisoma
,,,,UBA2250
,,,,Sulfuritalea
,,,,Rugosibacter
,,,,JADJEF01
,,,,Denitratisoma
,,,,CAIYYX01
,,,,Sterolibacterium
,,,,JACRAR01
,,,,Desulfobacillus
,,,,Niveibacterium
,,,,Uliginosibacterium
,,,,Dactylopiibacterium
,,,,Hydrogenophilus
,,,,Tepidiphilus
,,,,JAFZMK01
,,,,Thauera_A
,,,,Azoarcus
,,,,Azoarcus_C
,,,,WRNU01
,,,,Thauera
,,,,Aromatoleum
,,,,UBA2357
,,,,Azoarcus_D
,,,,JAEUNX01
,,,,Denitromonas
,,,,Zoogloea
,,,,Methyloversatilis
,,,,JAEUNL01
,,,,Turicimonas
,,,,Parasutterella
,,,,Aphodousia
,,,,Sutterella
,,,,Mesosutterella
,,,,Duodenibacillus
,,,,VBCK01
,,,,GJ-E10
,,,,DSNY01
,,,,JACCZX01
,,,,QZKY01
,,,,Oxalobacter
,,,,Paucimonas
,,,,Noviherbaspirillum
,,,,SYFN01
,,,,Lacisediminimonas
,,,,Noviherbaspirillum_A
,,,,CAILRJ01
,,,,Herminiimonas
,,,,Oxalicibacterium
,,,,Herbaspirillum
,,,,Collimonas
,,,,Glaciimonas
,,,,PKWO01
,,,,Solimicrobium
,,,,Undibacterium
,,,,Massilia
,,,,Janthinobacterium
,,,,Duganella
,,,,Rugamonas
,,,,LX47W
,,,,Pseudoduganella
,,,,AVCC01
,,,,Polynucleobacter
,,,,Pararobbsia
,,,,Mycetohabitans
,,,,Caballeronia
,,,,Paraburkholderia
,,,,Burkholderia
,,,,Trinickia
,,,,Mycoavidus
,,,,Glomeribacter
,,,,Robbsia
,,,,Pandoraea
,,,,Ralstonia
,,,,Cupriavidus
,,,,Derxia
,,,,BOG-994
,,,,Alcaligenes
,,,,Paenalcaligenes
,,,,Castellaniella
,,,,Paralcaligenes
,,,,Candidimonas
,,,,Pusillimonas_A
,,,,Pusillimonas
,,,,Eoetvoesia
,,,,JACCES01
,,,,Pusillimonas_B
,,,,Pusillimonas_C
,,,,Candidimonas_A
,,,,Parapusillimonas
,,,,Advenella
,,,,Pelistega
,,,,Taylorella
,,,,Oligella
,,,,NBD-18
,,,,Algicoccus
,,,,Achromobacter_A
,,,,Bordetella_C
,,,,Bordetella_B
,,,,Bordetella
,,,,Bordetella_A
,,,,Achromobacter
,,,,Verticiella
,,,,Pigmentiphaga
,,,,CTSOIL-112
,,,,Hydromonas
,,,,Formosimonas
,,,,Limnobacter
,,,,Thiomonas
,,,,RS62
,,,,UBA2334
,,,,Hydrogenophaga
,,,,Malikia
,,,,Serpentinomonas
,,,,Tepidicella
,,,,Tepidimonas
,,,,Brachymonas
,,,,Lampropedia
,,,,Ottowia
,,,,JAAFIP01
,,,,Limnohabitans_A
,,,,Limnohabitans
,,,,Tibeticola
,,,,JAABQG01
,,,,Extensimonas
,,,,Comamonas
,,,,Diaphorobacter_A
,,,,Alicycliphilus
,,,,Comamonas_C
,,,,Pulveribacter
,,,,Melaminivora_A
,,,,Acidovorax_C
,,,,Acidovorax_A
,,,,Giesbergeria
,,,,Acidovorax
,,,,Xylophilus
,,,,Curvibacter
,,,,ALPHA2B
,,,,Pseudacidovorax
,,,,Variovorax
,,,,Comamonas_F
,,,,JAGOCV01
,,,,Ramlibacter
,,,,Rhodoferax_A
,,,,Rhodoferax
,,,,CAISIP01
,,,,Hylemonella
,,,,JAAFJR01
,,,,Polaromonas
,,,,JACMQX01
,,,,CAIKVZ01
,,,,Rhodoferax_B
,,,,Pseudorhodoferax
,,,,Methylibium
,,,,SJAQ100
,,,,Leptothrix
,,,,Sphaerotilus
,,,,Aquabacterium
,,,,CAIKUF01
,,,,Piscinibacter
,,,,Schlegelella_A
,,,,LMDS01
,,,,PBB1
,,,,Albitalea
,,,,Rhizobacter
,,,,CADEEN01
,,,,CAIMXF01
,,,,Ideonella
,,,,Aquabacterium_A
,,,,Rubrivivax
,,,,JAEUPI01
,,,,RFTU01
,,,,Azohydromonas
,,,,VBDL01
,,,,Inhella
,,,,Paucibacter
,,,,Roseateles
,,,,Mitsuaria
,,,,Paucibacter_A
,,,,Kinneretia
,,,,WAJ17
,,,,Pelomonas
,,,,UBA954
,,,,UBA2463
,,,,RFPW01
,,,,UBA3064
,,,,CAIZPE01
,,,,SCN-69-89
,,,,SYIM01
,,,,UBA4615
,,,,Lautropia
,,,,JAEUOS01
,,,,Casimicrobium
,,,,PALSA-1003
,,,,VBCG01
,,,,CAIWHR01
,,,,UBA931
,,,,PALSA-1005
,,,,2-12-FULL-64-23
,,,,VBDM01
,,,,2-02-FULL-63-19
,,,,JACQTO01
